Пренцесса Раденитта;Муск! Я так рада, что ты пришел!;;
Муск;Я не мог не откликнуться на вашу просьбу!;;
Пренцесса Раденитта;Моего отца сразила солнечная болезнь! Как только я поняла это, сразу же послала за тобой.;;
Муск;Но я не лекарь и даже не книжная мышь, я не знаю как помочь вам.;;
Пренцесса Раденитта;Муск! Не перечь мне, я уже все придумала! Хоть ты и не так давно в страже, но мне больше не к кому обратиться. Большинство мышей в нашем замке заболели!;;
Муск;Но что, если я тоже заболею? Какие симптомы у этой болезни?;;
Пренцесса Раденитта;Сначала, ты начинаешь чихать. Потом ты перестаешь различать цвета. Следом у тебя начнут слезиться глаза. И последняя стадия… ты теряешь запах. Когда все стадии проявятся, болезнь сгубит тебя на исходе дня.;;
Муск;Получается, находиться здесь… уже опасно для меня.;;
Пренцесса Раденитта;Не говори глупости! Апчхи! Я же не больна;;
Пренцесса Раденитта;И тем не менее, у меня есть для тебя опасное задание. Я прочитала в библиотеке, что лекарство уже было найдено.;;
Муск;Отличная новость!;;
Пренцесса Раденитта;Плохая новость в том, что лекарство храниться у мудрого старца, что живет в дупле на дереве. Его уже давно никто не видел, но я думаю, что он еще жив.;;
Муск;Как же я его найду? А если он умер?;;
Пренцесса Раденитта;Апчхи! Я расскажу как до него добраться. А если он уже погиб, то порсто забери то, что нужно из его библиотеки.;;
Муск;Я покрадусь туда, даже если он жив. В моей деревне, я был чемпионом по пряткам! Я прятался так хорошо, что все забывали о моем существании. ;;
Пренцесса Раденитта;Хорошо… Я дам тебе наши фамильные часы, чтобы ты мог следить за временем. К сожалению, у тебя есть всего один день.;;
Муск;Я вас понял принцесса! Я не подведу вас! Принесу, все что нужно для лекарства!;;
Пренцесса Раденитта;Мы все надеемся на тебя!;;
